"Date Printed: Thursday, September 14, 2023 10:43:39 AM"
Title: "Early Non-Primary, Non-Secondary Syphilis | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | American Indian/Alaska Native | Asian | Black/African American | Hispanic/Latino | Multiracial | Native Hawaiian/Other Pacific Islander | Unknown | White | Female | Male | All age groups | All transmission categories""
Footnote(s): 
NA - Not Applicable.



Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"Early Non-Primary, Non-Secondary Syphilis","2018","Idaho","16","All age groups","Multiracial","Female","All transmission categories","0","0.0","17,402"
"Early Non-Primary, Non-Secondary Syphilis","2018","Idaho","16","All age groups","Multiracial","Male","All transmission categories","0","0.0","17,885"
"Early Non-Primary, Non-Secondary Syphilis","2018","Idaho","16","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Idaho","16","All age groups","Unknown","Male","All transmission categories","1","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Idaho","16","All age groups","White","Female","All transmission categories","6","0.8","716,904"
"Early Non-Primary, Non-Secondary Syphilis","2018","Idaho","16","All age groups","White","Male","All transmission categories","17","2.4","715,408"
"Early Non-Primary, Non-Secondary Syphilis","2018","Idaho","16","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","1,485"
"Early Non-Primary, Non-Secondary Syphilis","2018","Idaho","16","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","1,610"
"Early Non-Primary, Non-Secondary Syphilis","2018","Idaho","16","All age groups","Hispanic/Latino","Female","All transmission categories","0","0.0","107,728"
"Early Non-Primary, Non-Secondary Syphilis","2018","Idaho","16","All age groups","Hispanic/Latino","Male","All transmission categories","5","4.4","114,478"
"Early Non-Primary, Non-Secondary Syphilis","2018","Idaho","16","All age groups","Black/African American","Female","All transmission categories","0","0.0","5,613"
"Early Non-Primary, Non-Secondary Syphilis","2018","Idaho","16","All age groups","Black/African American","Male","All transmission categories","3","40.0","7,504"
"Early Non-Primary, Non-Secondary Syphilis","2018","Idaho","16","All age groups","Asian","Female","All transmission categories","0","0.0","14,352"
"Early Non-Primary, Non-Secondary Syphilis","2018","Idaho","16","All age groups","Asian","Male","All transmission categories","0","0.0","10,792"
"Early Non-Primary, Non-Secondary Syphilis","2018","Idaho","16","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","9,721"
"Early Non-Primary, Non-Secondary Syphilis","2018","Idaho","16","All age groups","American Indian/Alaska Native","Male","All transmission categories","1","10.4","9,654"
"Early Non-Primary, Non-Secondary Syphilis","2018","Illinois","17","All age groups","Multiracial","Female","All transmission categories","1","1.0","104,308"
"Early Non-Primary, Non-Secondary Syphilis","2018","Illinois","17","All age groups","Multiracial","Male","All transmission categories","41","39.7","103,273"
"Early Non-Primary, Non-Secondary Syphilis","2018","Illinois","17","All age groups","Unknown","Female","All transmission categories","8","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Illinois","17","All age groups","Unknown","Male","All transmission categories","49","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Illinois","17","All age groups","White","Female","All transmission categories","23","0.6","3,953,026"
"Early Non-Primary, Non-Secondary Syphilis","2018","Illinois","17","All age groups","White","Male","All transmission categories","410","10.7","3,822,298"
"Early Non-Primary, Non-Secondary Syphilis","2018","Illinois","17","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","1,796"
"Early Non-Primary, Non-Secondary Syphilis","2018","Illinois","17","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","1,885"
"Early Non-Primary, Non-Secondary Syphilis","2018","Illinois","17","All age groups","Hispanic/Latino","Female","All transmission categories","15","1.4","1,077,645"
"Early Non-Primary, Non-Secondary Syphilis","2018","Illinois","17","All age groups","Hispanic/Latino","Male","All transmission categories","309","27.4","1,126,969"
"Early Non-Primary, Non-Secondary Syphilis","2018","Illinois","17","All age groups","Black/African American","Female","All transmission categories","88","9.3","950,375"
"Early Non-Primary, Non-Secondary Syphilis","2018","Illinois","17","All age groups","Black/African American","Male","All transmission categories","490","58.3","840,041"
"Early Non-Primary, Non-Secondary Syphilis","2018","Illinois","17","All age groups","Asian","Female","All transmission categories","0","0.0","374,782"
"Early Non-Primary, Non-Secondary Syphilis","2018","Illinois","17","All age groups","Asian","Male","All transmission categories","26","7.5","347,425"
"Early Non-Primary, Non-Secondary Syphilis","2018","Illinois","17","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","9,795"
"Early Non-Primary, Non-Secondary Syphilis","2018","Illinois","17","All age groups","American Indian/Alaska Native","Male","All transmission categories","3","31.7","9,453"
"Early Non-Primary, Non-Secondary Syphilis","2018","Indiana","18","All age groups","Multiracial","Female","All transmission categories","0","0.0","63,595"
"Early Non-Primary, Non-Secondary Syphilis","2018","Indiana","18","All age groups","Multiracial","Male","All transmission categories","0","0.0","61,707"
"Early Non-Primary, Non-Secondary Syphilis","2018","Indiana","18","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Indiana","18","All age groups","Unknown","Male","All transmission categories","2","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Indiana","18","All age groups","White","Female","All transmission categories","17","0.6","2,680,389"
"Early Non-Primary, Non-Secondary Syphilis","2018","Indiana","18","All age groups","White","Male","All transmission categories","149","5.7","2,596,843"
"Early Non-Primary, Non-Secondary Syphilis","2018","Indiana","18","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","1,276"
"Early Non-Primary, Non-Secondary Syphilis","2018","Indiana","18","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","1","80.5","1,243"
"Early Non-Primary, Non-Secondary Syphilis","2018","Indiana","18","All age groups","Hispanic/Latino","Female","All transmission categories","2","0.9","230,128"
"Early Non-Primary, Non-Secondary Syphilis","2018","Indiana","18","All age groups","Hispanic/Latino","Male","All transmission categories","41","16.7","245,524"
"Early Non-Primary, Non-Secondary Syphilis","2018","Indiana","18","All age groups","Black/African American","Female","All transmission categories","21","6.4","330,121"
"Early Non-Primary, Non-Secondary Syphilis","2018","Indiana","18","All age groups","Black/African American","Male","All transmission categories","118","38.4","307,117"
"Early Non-Primary, Non-Secondary Syphilis","2018","Indiana","18","All age groups","Asian","Female","All transmission categories","0","0.0","80,920"
"Early Non-Primary, Non-Secondary Syphilis","2018","Indiana","18","All age groups","Asian","Male","All transmission categories","4","4.9","81,198"
"Early Non-Primary, Non-Secondary Syphilis","2018","Indiana","18","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","7,782"
"Early Non-Primary, Non-Secondary Syphilis","2018","Indiana","18","All age groups","American Indian/Alaska Native","Male","All transmission categories","4","52.3","7,654"
"Early Non-Primary, Non-Secondary Syphilis","2018","Iowa","19","All age groups","Multiracial","Female","All transmission categories","1","3.8","26,603"
"Early Non-Primary, Non-Secondary Syphilis","2018","Iowa","19","All age groups","Multiracial","Male","All transmission categories","3","11.1","26,988"
"Early Non-Primary, Non-Secondary Syphilis","2018","Iowa","19","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Iowa","19","All age groups","Unknown","Male","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Iowa","19","All age groups","White","Female","All transmission categories","7","0.5","1,359,045"
"Early Non-Primary, Non-Secondary Syphilis","2018","Iowa","19","All age groups","White","Male","All transmission categories","42","3.2","1,327,465"
"Early Non-Primary, Non-Secondary Syphilis","2018","Iowa","19","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","1,794"
"Early Non-Primary, Non-Secondary Syphilis","2018","Iowa","19","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","1,882"
"Early Non-Primary, Non-Secondary Syphilis","2018","Iowa","19","All age groups","Hispanic/Latino","Female","All transmission categories","1","1.1","93,212"
"Early Non-Primary, Non-Secondary Syphilis","2018","Iowa","19","All age groups","Hispanic/Latino","Male","All transmission categories","13","12.9","101,002"
"Early Non-Primary, Non-Secondary Syphilis","2018","Iowa","19","All age groups","Black/African American","Female","All transmission categories","6","10.7","55,963"
"Early Non-Primary, Non-Secondary Syphilis","2018","Iowa","19","All age groups","Black/African American","Male","All transmission categories","12","18.9","63,502"
"Early Non-Primary, Non-Secondary Syphilis","2018","Iowa","19","All age groups","Asian","Female","All transmission categories","0","0.0","40,183"
"Early Non-Primary, Non-Secondary Syphilis","2018","Iowa","19","All age groups","Asian","Male","All transmission categories","0","0.0","41,426"
"Early Non-Primary, Non-Secondary Syphilis","2018","Iowa","19","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","4,855"
"Early Non-Primary, Non-Secondary Syphilis","2018","Iowa","19","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","4,698"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kansas","20","All age groups","Multiracial","Female","All transmission categories","2","5.3","37,601"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kansas","20","All age groups","Multiracial","Male","All transmission categories","11","29.7","37,078"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kansas","20","All age groups","Unknown","Female","All transmission categories","1","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kansas","20","All age groups","Unknown","Male","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kansas","20","All age groups","White","Female","All transmission categories","38","3.4","1,114,384"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kansas","20","All age groups","White","Male","All transmission categories","118","10.8","1,088,906"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kansas","20","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","1","81.3","1,230"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kansas","20","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","1,496"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kansas","20","All age groups","Hispanic/Latino","Female","All transmission categories","6","3.5","169,462"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kansas","20","All age groups","Hispanic/Latino","Male","All transmission categories","47","25.8","181,916"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kansas","20","All age groups","Black/African American","Female","All transmission categories","10","12.4","80,691"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kansas","20","All age groups","Black/African American","Male","All transmission categories","48","55.4","86,579"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kansas","20","All age groups","Asian","Female","All transmission categories","1","2.2","45,619"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kansas","20","All age groups","Asian","Male","All transmission categories","6","13.8","43,474"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kansas","20","All age groups","American Indian/Alaska Native","Female","All transmission categories","2","17.2","11,601"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kansas","20","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","11,322"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kentucky","21","All age groups","Multiracial","Female","All transmission categories","0","0.0","41,003"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kentucky","21","All age groups","Multiracial","Male","All transmission categories","4","9.9","40,330"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kentucky","21","All age groups","Unknown","Female","All transmission categories","2","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kentucky","21","All age groups","Unknown","Male","All transmission categories","3","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kentucky","21","All age groups","White","Female","All transmission categories","43","2.2","1,918,482"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kentucky","21","All age groups","White","Male","All transmission categories","120","6.5","1,845,316"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kentucky","21","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","1,410"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kentucky","21","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","1,539"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kentucky","21","All age groups","Hispanic/Latino","Female","All transmission categories","8","10.2","78,522"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kentucky","21","All age groups","Hispanic/Latino","Male","All transmission categories","19","20.7","91,821"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kentucky","21","All age groups","Black/African American","Female","All transmission categories","18","9.8","183,791"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kentucky","21","All age groups","Black/African American","Male","All transmission categories","77","42.6","180,910"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kentucky","21","All age groups","Asian","Female","All transmission categories","0","0.0","35,736"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kentucky","21","All age groups","Asian","Male","All transmission categories","0","0.0","32,928"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kentucky","21","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","4,659"
"Early Non-Primary, Non-Secondary Syphilis","2018","Kentucky","21","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","4,706"
"Early Non-Primary, Non-Secondary Syphilis","2018","Louisiana","22","All age groups","Multiracial","Female","All transmission categories","3","8.3","36,011"
"Early Non-Primary, Non-Secondary Syphilis","2018","Louisiana","22","All age groups","Multiracial","Male","All transmission categories","2","5.8","34,710"
"Early Non-Primary, Non-Secondary Syphilis","2018","Louisiana","22","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Louisiana","22","All age groups","Unknown","Male","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Louisiana","22","All age groups","White","Female","All transmission categories","35","2.5","1,387,732"
"Early Non-Primary, Non-Secondary Syphilis","2018","Louisiana","22","All age groups","White","Male","All transmission categories","124","9.2","1,342,854"
"Early Non-Primary, Non-Secondary Syphilis","2018","Louisiana","22","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","915"
"Early Non-Primary, Non-Secondary Syphilis","2018","Louisiana","22","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","878"
"Early Non-Primary, Non-Secondary Syphilis","2018","Louisiana","22","All age groups","Hispanic/Latino","Female","All transmission categories","3","2.6","113,498"
"Early Non-Primary, Non-Secondary Syphilis","2018","Louisiana","22","All age groups","Hispanic/Latino","Male","All transmission categories","24","18.6","129,300"
"Early Non-Primary, Non-Secondary Syphilis","2018","Louisiana","22","All age groups","Black/African American","Female","All transmission categories","105","13.3","790,891"
"Early Non-Primary, Non-Secondary Syphilis","2018","Louisiana","22","All age groups","Black/African American","Male","All transmission categories","277","38.9","711,504"
"Early Non-Primary, Non-Secondary Syphilis","2018","Louisiana","22","All age groups","Asian","Female","All transmission categories","0","0.0","41,143"
"Early Non-Primary, Non-Secondary Syphilis","2018","Louisiana","22","All age groups","Asian","Male","All transmission categories","2","5.0","40,136"
"Early Non-Primary, Non-Secondary Syphilis","2018","Louisiana","22","All age groups","American Indian/Alaska Native","Female","All transmission categories","1","6.6","15,258"
"Early Non-Primary, Non-Secondary Syphilis","2018","Louisiana","22","All age groups","American Indian/Alaska Native","Male","All transmission categories","0","0.0","14,860"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maine","23","All age groups","Multiracial","Female","All transmission categories","0","0.0","11,299"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maine","23","All age groups","Multiracial","Male","All transmission categories","1","9.0","11,078"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maine","23","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maine","23","All age groups","Unknown","Male","All transmission categories","2","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maine","23","All age groups","White","Female","All transmission categories","3","0.5","637,421"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maine","23","All age groups","White","Male","All transmission categories","32","5.2","609,635"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maine","23","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","188"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maine","23","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","194"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maine","23","All age groups","Hispanic/Latino","Female","All transmission categories","0","0.0","11,221"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maine","23","All age groups","Hispanic/Latino","Male","All transmission categories","1","8.6","11,610"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maine","23","All age groups","Black/African American","Female","All transmission categories","0","0.0","9,429"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maine","23","All age groups","Black/African American","Male","All transmission categories","2","17.5","11,422"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maine","23","All age groups","Asian","Female","All transmission categories","0","0.0","9,368"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maine","23","All age groups","Asian","Male","All transmission categories","1","13.6","7,331"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maine","23","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","4,448"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maine","23","All age groups","American Indian/Alaska Native","Male","All transmission categories","1","22.7","4,413"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maryland","24","All age groups","Multiracial","Female","All transmission categories","0","0.0","75,988"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maryland","24","All age groups","Multiracial","Male","All transmission categories","11","15.6","70,730"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maryland","24","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maryland","24","All age groups","Unknown","Male","All transmission categories","4","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maryland","24","All age groups","White","Female","All transmission categories","65","4.2","1,555,666"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maryland","24","All age groups","White","Male","All transmission categories","120","8.0","1,494,366"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maryland","24","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","1,596"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maryland","24","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","1","69.3","1,444"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maryland","24","All age groups","Hispanic/Latino","Female","All transmission categories","3","1.0","302,233"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maryland","24","All age groups","Hispanic/Latino","Male","All transmission categories","75","23.1","324,145"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maryland","24","All age groups","Black/African American","Female","All transmission categories","63","6.6","961,046"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maryland","24","All age groups","Black/African American","Male","All transmission categories","497","59.2","839,936"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maryland","24","All age groups","Asian","Female","All transmission categories","2","1.0","207,082"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maryland","24","All age groups","Asian","Male","All transmission categories","14","7.5","186,822"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maryland","24","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","7,592"
"Early Non-Primary, Non-Secondary Syphilis","2018","Maryland","24","All age groups","American Indian/Alaska Native","Male","All transmission categories","2","27.9","7,156"
"Early Non-Primary, Non-Secondary Syphilis","2018","Massachusetts","25","All age groups","Multiracial","Female","All transmission categories","0","0.0","64,402"
"Early Non-Primary, Non-Secondary Syphilis","2018","Massachusetts","25","All age groups","Multiracial","Male","All transmission categories","14","22.6","61,965"
"Early Non-Primary, Non-Secondary Syphilis","2018","Massachusetts","25","All age groups","Unknown","Female","All transmission categories","2","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Massachusetts","25","All age groups","Unknown","Male","All transmission categories","67","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Massachusetts","25","All age groups","White","Female","All transmission categories","10","0.4","2,541,617"
"Early Non-Primary, Non-Secondary Syphilis","2018","Massachusetts","25","All age groups","White","Male","All transmission categories","231","9.7","2,383,479"
"Early Non-Primary, Non-Secondary Syphilis","2018","Massachusetts","25","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","1,510"
"Early Non-Primary, Non-Secondary Syphilis","2018","Massachusetts","25","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","1,392"
"Early Non-Primary, Non-Secondary Syphilis","2018","Massachusetts","25","All age groups","Hispanic/Latino","Female","All transmission categories","23","5.4","422,056"
"Early Non-Primary, Non-Secondary Syphilis","2018","Massachusetts","25","All age groups","Hispanic/Latino","Male","All transmission categories","141","33.9","416,225"
"Early Non-Primary, Non-Secondary Syphilis","2018","Massachusetts","25","All age groups","Black/African American","Female","All transmission categories","11","4.3","257,266"
"Early Non-Primary, Non-Secondary Syphilis","2018","Massachusetts","25","All age groups","Black/African American","Male","All transmission categories","96","39.7","241,889"
"Early Non-Primary, Non-Secondary Syphilis","2018","Massachusetts","25","All age groups","Asian","Female","All transmission categories","1","0.4","249,876"
"Early Non-Primary, Non-Secondary Syphilis","2018","Massachusetts","25","All age groups","Asian","Male","All transmission categories","16","7.0","228,567"
"Early Non-Primary, Non-Secondary Syphilis","2018","Massachusetts","25","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","6,198"
"Early Non-Primary, Non-Secondary Syphilis","2018","Massachusetts","25","All age groups","American Indian/Alaska Native","Male","All transmission categories","1","16.1","6,193"
"Early Non-Primary, Non-Secondary Syphilis","2018","Michigan","26","All age groups","Multiracial","Female","All transmission categories","1","0.9","112,083"
"Early Non-Primary, Non-Secondary Syphilis","2018","Michigan","26","All age groups","Multiracial","Male","All transmission categories","0","0.0","109,164"
"Early Non-Primary, Non-Secondary Syphilis","2018","Michigan","26","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Michigan","26","All age groups","Unknown","Male","All transmission categories","3","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Michigan","26","All age groups","White","Female","All transmission categories","16","0.4","3,781,941"
"Early Non-Primary, Non-Secondary Syphilis","2018","Michigan","26","All age groups","White","Male","All transmission categories","138","3.7","3,699,924"
"Early Non-Primary, Non-Secondary Syphilis","2018","Michigan","26","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","1,384"
"Early Non-Primary, Non-Secondary Syphilis","2018","Michigan","26","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","1,352"
"Early Non-Primary, Non-Secondary Syphilis","2018","Michigan","26","All age groups","Hispanic/Latino","Female","All transmission categories","1","0.4","255,022"
"Early Non-Primary, Non-Secondary Syphilis","2018","Michigan","26","All age groups","Hispanic/Latino","Male","All transmission categories","24","9.1","263,455"
"Early Non-Primary, Non-Secondary Syphilis","2018","Michigan","26","All age groups","Black/African American","Female","All transmission categories","29","4.0","723,017"
"Early Non-Primary, Non-Secondary Syphilis","2018","Michigan","26","All age groups","Black/African American","Male","All transmission categories","190","29.1","652,847"
"Early Non-Primary, Non-Secondary Syphilis","2018","Michigan","26","All age groups","Asian","Female","All transmission categories","1","0.6","165,798"
"Early Non-Primary, Non-Secondary Syphilis","2018","Michigan","26","All age groups","Asian","Male","All transmission categories","3","1.9","161,241"
"Early Non-Primary, Non-Secondary Syphilis","2018","Michigan","26","All age groups","American Indian/Alaska Native","Female","All transmission categories","0","0.0","28,617"
"Early Non-Primary, Non-Secondary Syphilis","2018","Michigan","26","All age groups","American Indian/Alaska Native","Male","All transmission categories","1","3.5","28,227"
"Early Non-Primary, Non-Secondary Syphilis","2018","Minnesota","27","All age groups","Multiracial","Female","All transmission categories","4","6.3","63,847"
"Early Non-Primary, Non-Secondary Syphilis","2018","Minnesota","27","All age groups","Multiracial","Male","All transmission categories","9","14.4","62,657"
"Early Non-Primary, Non-Secondary Syphilis","2018","Minnesota","27","All age groups","Unknown","Female","All transmission categories","0","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Minnesota","27","All age groups","Unknown","Male","All transmission categories","2","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Minnesota","27","All age groups","White","Female","All transmission categories","11","0.5","2,244,366"
"Early Non-Primary, Non-Secondary Syphilis","2018","Minnesota","27","All age groups","White","Male","All transmission categories","129","5.8","2,211,806"
"Early Non-Primary, Non-Secondary Syphilis","2018","Minnesota","27","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","1,411"
"Early Non-Primary, Non-Secondary Syphilis","2018","Minnesota","27","All age groups","Native Hawaiian/Other Pacific Islander","Male","All transmission categories","0","0.0","1,439"
"Early Non-Primary, Non-Secondary Syphilis","2018","Minnesota","27","All age groups","Hispanic/Latino","Female","All transmission categories","2","1.3","148,206"
"Early Non-Primary, Non-Secondary Syphilis","2018","Minnesota","27","All age groups","Hispanic/Latino","Male","All transmission categories","26","16.2","160,050"
"Early Non-Primary, Non-Secondary Syphilis","2018","Minnesota","27","All age groups","Black/African American","Female","All transmission categories","10","5.5","181,196"
"Early Non-Primary, Non-Secondary Syphilis","2018","Minnesota","27","All age groups","Black/African American","Male","All transmission categories","35","18.5","188,733"
"Early Non-Primary, Non-Secondary Syphilis","2018","Minnesota","27","All age groups","Asian","Female","All transmission categories","1","0.7","144,527"
"Early Non-Primary, Non-Secondary Syphilis","2018","Minnesota","27","All age groups","Asian","Male","All transmission categories","10","7.2","138,076"
"Early Non-Primary, Non-Secondary Syphilis","2018","Minnesota","27","All age groups","American Indian/Alaska Native","Female","All transmission categories","22","72.7","30,269"
"Early Non-Primary, Non-Secondary Syphilis","2018","Minnesota","27","All age groups","American Indian/Alaska Native","Male","All transmission categories","25","84.3","29,666"
"Early Non-Primary, Non-Secondary Syphilis","2018","Mississippi","28","All age groups","Multiracial","Female","All transmission categories","1","5.6","17,912"
"Early Non-Primary, Non-Secondary Syphilis","2018","Mississippi","28","All age groups","Multiracial","Male","All transmission categories","0","0.0","17,208"
"Early Non-Primary, Non-Secondary Syphilis","2018","Mississippi","28","All age groups","Unknown","Female","All transmission categories","2","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Mississippi","28","All age groups","Unknown","Male","All transmission categories","8","Data not available","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Mississippi","28","All age groups","White","Female","All transmission categories","60","7.0","857,337"
"Early Non-Primary, Non-Secondary Syphilis","2018","Mississippi","28","All age groups","White","Male","All transmission categories","101","12.2","826,919"
"Early Non-Primary, Non-Secondary Syphilis","2018","Mississippi","28","All age groups","Native Hawaiian/Other Pacific Islander","Female","All transmission categories","0","0.0","510"
